epoch,step,test_accuracy,test_f1,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_loss,train_precision,train_recall
0,151,0.8698517084121704,0.8751974701881409,0.33892861008644104,0.849693238735199,0.9022801518440247,,,,,
0,151,,,,,,0.7289392352104187,0.7228306531906128,0.5255833268165588,0.7483645677566528,0.6989816427230835
1,303,0.8179571628570557,0.8433734774589539,0.41289910674095154,0.7465495467185974,0.9690553545951843,,,,,
1,303,,,,,,0.918022632598877,0.9192042350769043,0.22701895236968994,0.9162282347679138,0.9221996068954468
2,455,0.953871488571167,0.954023003578186,0.13604550063610077,0.9619205594062805,0.9462540745735168,,,,,
2,455,,,,,,0.9550978541374207,0.956154465675354,0.14162814617156982,0.9443782567977905,0.9682281017303467
3,607,0.9563426971435547,0.9574980139732361,0.12042826414108276,0.9431279897689819,0.9723126888275146,,,,,
3,607,,,,,,0.9837281107902527,0.9840113520622253,0.05362589284777641,0.9778761267662048,0.9902240037918091
4,759,0.9621087312698364,0.9617940187454224,0.16502726078033447,0.9813559055328369,0.9429967403411865,,,,,
4,759,,,,,,0.992790937423706,0.9928789138793945,0.029001761227846146,0.9918699264526367,0.9938900470733643
5,911,0.9612849950790405,0.9611248970031738,0.10796274244785309,0.9764705896377563,0.9462540745735168,,,,,
5,911,,,,,,0.9934088587760925,0.9934959411621094,0.02375648356974125,0.9914807081222534,0.9955193400382996
6,1063,0.9728171229362488,0.973061203956604,0.10367286950349808,0.9754500985145569,0.9706840515136719,,,,,
6,1063,,,,,,0.998764157295227,0.9987789988517761,0.006855405867099762,0.9979666471481323,0.999592661857605
7,1215,0.9736408591270447,0.9741518497467041,0.11392717808485031,0.9663461446762085,0.9820846915245056,,,,,
7,1215,,,,,,0.9993820786476135,0.9993888735771179,0.003216805635020137,0.9995924830436707,0.99918532371521
8,1367,0.9761120080947876,0.9764035940170288,0.1114114448428154,0.9756097793579102,0.9771987199783325,,,,,
8,1367,,,,,,1.0,1.0,0.0010948755079880357,1.0,1.0
9,1519,0.9736408591270447,0.9740259647369385,0.12102318555116653,0.9708737730979919,0.9771987199783325,,,,,
9,1519,,,,,,1.0,1.0,0.0005819593789055943,1.0,1.0
