epoch,step,test_accuracy,test_f1,test_loss,test_precision,test_recall,train_loss
0,75,0.7866556644439697,0.8217480778694153,0.47546982765197754,0.711561381816864,0.9723126888275146,
0,75,,,,,,0.5871493220329285
1,151,0.9192751049995422,0.9195402264595032,0.2380084991455078,0.9271523356437683,0.9120520949363708,
1,151,,,,,,0.3238251507282257
2,227,0.9003294706344604,0.9088168740272522,0.25308674573898315,0.8457223176956177,0.9820846915245056,
2,227,,,,,,0.23599158227443695
