sequence_length,epoch,train_loss,test_loss,train_f1,test_f1
32,1,0.6760748624801636,0.633122444152832,0.6046150922775269,0.7022350430488586
32,2,0.4705215096473694,0.3107605576515198,0.7858333587646484,0.8821035027503967
64,1,0.657961368560791,0.6205503344535828,0.606693685054779,0.6578947305679321
64,2,0.5678793787956238,0.5046756267547607,0.6748952269554138,0.7235996127128601
