epoch,step,test_accuracy,test_f1,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_loss,train_precision,train_recall
0,18,0.6598023176193237,0.7022350430488586,0.633122444152832,0.6300129294395447,0.7931596040725708,,,,,
0,18,,,,,,0.5800206065177917,0.6046150922775269,0.6760748624801636,0.5769799947738647,0.6350305676460266
1,37,0.8855024576187134,0.8821035027503967,0.3107605576515198,0.9203540086746216,0.846905529499054,,,,,
1,37,,,,,,0.7882595062255859,0.7858333587646484,0.4705215096473694,0.8042643666267395,0.7682281136512756
