epoch,step,test_accuracy,test_f1,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_loss,train_precision,train_recall
0,151,0.8879736661911011,0.892405092716217,0.3283994793891907,0.8676922917366028,0.9185667634010315,,,,,
0,151,,,,,,0.7283213138580322,0.734767735004425,0.5301816463470459,0.725575864315033,0.7441955208778381
1,303,0.9431630969047546,0.9443996548652649,0.20416392385959625,0.9346092343330383,0.9543973803520203,,,,,
1,303,,,,,,0.8832131624221802,0.8893226385116577,0.305969774723053,0.8538230657577515,0.9279022216796875
2,455,0.936573326587677,0.9398906826972961,0.1900918334722519,0.9025487303733826,0.9804560542106628,,,,,
2,455,,,,,,0.9307929873466492,0.933306872844696,0.21105019748210907,0.9101819396018982,0.9576374888420105
3,607,0.9555189609527588,0.9563812613487244,0.17244814336299896,0.9487179517745972,0.9641693830490112,,,,,
3,607,,,,,,0.9625128507614136,0.9634684920310974,0.11799722909927368,0.9497427940368652,0.9775967597961426
4,759,0.9604612588882446,0.9606557488441467,0.1229022890329361,0.9669967293739319,0.9543973803520203,,,,,
4,759,,,,,,0.9697219133377075,0.9706058502197266,0.0949019119143486,0.9532600045204163,0.9885947108268738
5,911,0.9093904495239258,0.9017857313156128,0.2932923138141632,0.9980236887931824,0.8224755525588989,,,,,
5,911,,,,,,0.988053560256958,0.9882448315620422,0.044850390404462814,0.9834610819816589,0.9930753707885742
6,1063,0.98270183801651,0.9828571677207947,0.06903359293937683,0.9852700233459473,0.9804560542106628,,,,,
6,1063,,,,,,0.9886714816093445,0.9888370037078857,0.044689249247312546,0.9854369163513184,0.9922606945037842
7,1215,0.6919274926185608,0.7170953154563904,0.5635143518447876,0.6694915294647217,0.7719869613647461,,,,,
7,1215,,,,,,0.8496395349502563,0.8487359881401062,0.35669124126434326,0.8637705445289612,0.8342158794403076
8,1367,0.9719933867454529,0.9718543291091919,0.11577314138412476,0.9882155060768127,0.9560260772705078,,,,,
8,1367,,,,,,0.9101956486701965,0.9089009761810303,0.2500782907009125,0.9330759048461914,0.885947048664093
9,1519,0.9835255146026611,0.9835526347160339,0.06508651375770569,0.9933554530143738,0.9739413857460022,,,,,
9,1519,,,,,,0.989289402961731,0.9893704056739807,0.05389652028679848,0.9930242300033569,0.9857434034347534
